time,aid,value,treatid
-30,an17,1238,halo(0.1)/a
-20,an17,822,halo(0.1)/a
-10,an17,399,halo(0.1)/a
-30,an18,1292,halo(0.1)/a
-20,an18,915,halo(0.1)/a
-10,an18,446,halo(0.1)/a
-30,an19,1566,halo(0.1)/a
-20,an19,681,halo(0.1)/a
-10,an19,206,halo(0.1)/a
-30,an20,931,halo(0.1)/a
-20,an20,661,halo(0.1)/a
-10,an20,150,halo(0.1)/a
-30,an21,1109,halo(0.1)/a
-20,an21,976,halo(0.1)/a
-10,an21,467,halo(0.1)/a
-30,an22,1282,halo(0.1)/a
-20,an22,692,halo(0.1)/a
-10,an22,270,halo(0.1)/a
-30,an23,1138,halo(0.1)/a
-20,an23,941,halo(0.1)/a
-10,an23,415,halo(0.1)/a
-30,an24,1017,halo(0.1)/a
-20,an24,803,halo(0.1)/a
-10,an24,189,halo(0.1)/a
-30,an25,1281,TBPB (10)/a
-20,an25,787,TBPB (10)/a
-10,an25,451,TBPB (10)/a
-30,an26,1007,TBPB (10)/a
-20,an26,1125,TBPB (10)/a
-10,an26,376,TBPB (10)/a
-30,an27,1206,TBPB (10)/a
-20,an27,917,TBPB (10)/a
-10,an27,430,TBPB (10)/a
-30,an28,1108,TBPB (10)/a
-20,an28,839,TBPB (10)/a
-10,an28,284,TBPB (10)/a
-30,an29,1270,TBPB (10)/a
-20,an29,865,TBPB (10)/a
-10,an29,718,TBPB (10)/a
-30,an30,1126,TBPB (10)/a
-20,an30,823,TBPB (10)/a
-10,an30,715,TBPB (10)/a
-30,an31,1559,TBPB (10)/a
-20,an31,939,TBPB (10)/a
-10,an31,509,TBPB (10)/a
-30,an32,715,TBPB (10)/a
-20,an32,1133,TBPB (10)/a
-10,an32,624,TBPB (10)/a
-30,an33,1895,TBPB (30)/a
-20,an33,1019,TBPB (30)/a
-10,an33,360,TBPB (30)/a
-30,an34,2205,TBPB (30)/a
-20,an34,1290,TBPB (30)/a
-10,an34,259,TBPB (30)/a
-30,an35,601,TBPB (30)/a
-20,an35,594,TBPB (30)/a
-10,an35,275,TBPB (30)/a
-30,an36,419,TBPB (30)/a
-20,an36,636,TBPB (30)/a
-10,an36,814,TBPB (30)/a
-30,an37,954,TBPB (30)/a
-20,an37,810,TBPB (30)/a
-10,an37,312,TBPB (30)/a
-30,an38,423,TBPB (30)/a
-20,an38,756,TBPB (30)/a
-10,an38,448,TBPB (30)/a
-30,an39,988,TBPB (30)/a
-20,an39,1740,TBPB (30)/a
-10,an39,684,TBPB (30)/a
-30,an40,725,TBPB (30)/a
-20,an40,711,TBPB (30)/a
-10,an40,0,TBPB (30)/a
-30,an41,458,TBPB (56)/a
-20,an41,429,TBPB (56)/a
-10,an41,28,TBPB (56)/a
-30,an42,1128,TBPB (56)/a
-20,an42,1123,TBPB (56)/a
-10,an42,134,TBPB (56)/a
-30,an43,1040,TBPB (56)/a
-20,an43,754,TBPB (56)/a
-10,an43,28,TBPB (56)/a
-30,an44,1166,TBPB (56)/a
-20,an44,289,TBPB (56)/a
-10,an44,67,TBPB (56)/a
-30,an45,878,TBPB (56)/a
-20,an45,746,TBPB (56)/a
-10,an45,31,TBPB (56)/a
-30,an46,1110,TBPB (56)/a
-20,an46,965,TBPB (56)/a
-10,an46,1,TBPB (56)/a
-30,an47,370,TBPB (56)/a
-20,an47,660,TBPB (56)/a
-10,an47,8,TBPB (56)/a
-30,an48,905,TBPB (56)/a
-20,an48,880,TBPB (56)/a
-10,an48,4,TBPB (56)/a
-30,an9,960,v/amph
-20,an9,1073,v/amph
-10,an9,640,v/amph
-30,an10,2924,v/amph
-20,an10,1427,v/amph
-10,an10,1491,v/amph
-30,an11,1439,v/amph
-20,an11,1459,v/amph
-10,an11,963,v/amph
-30,an12,1111,v/amph
-20,an12,968,v/amph
-10,an12,297,v/amph
-30,an13,1702,v/amph
-20,an13,1290,v/amph
-10,an13,1169,v/amph
-30,an14,1269,v/amph
-20,an14,1319,v/amph
-10,an14,1149,v/amph
-30,an15,1515,v/amph
-20,an15,1412,v/amph
-10,an15,811,v/amph
-30,an16,790,v/amph
-20,an16,961,v/amph
-10,an16,463,v/amph
-30,an1,914,v/v
-20,an1,733,v/v
-10,an1,693,v/v
-30,an2,1015,v/v
-20,an2,821,v/v
-10,an2,618,v/v
-30,an3,1016,v/v
-20,an3,914,v/v
-10,an3,394,v/v
-30,an4,923,v/v
-20,an4,1030,v/v
-10,an4,857,v/v
-30,an5,1372,v/v
-20,an5,1305,v/v
-10,an5,839,v/v
-30,an6,1553,v/v
-20,an6,1058,v/v
-10,an6,1310,v/v
-30,an7,1468,v/v
-20,an7,529,v/v
-10,an7,437,v/v
-30,an8,1198,v/v
-20,an8,1116,v/v
-10,an8,955,v/v
